"sector","average","total","count","續漲停","強續漲","弱續漲","開高走低","直接跌"
"IC設計","2","2","1","1","0","0","0","0"
"環保水處理","2","2","1","1","0","0","0","0"
"電腦週邊","0.5","1","2","0","1","1","0","0"
"半導體材料","0","0","1","0","0","1","0","0"
"板卡","0","0","1","0","0","1","0","0"
"生技醫療","0","0","2","0","1","0","1","0"
"被動元件","0","0","2","1","0","0","0","1"
"面板光電","-0.5","-1","2","0","0","1","1","0"
"汽車","-1","-2","2","0","0","0","2","0"
"量子電腦","-1","-1","1","0","0","0","1","0"
"光碟片","-2","-4","2","0","0","0","0","2"
"半導體設備","-2","-2","1","0","0","0","0","1"
"塑化化工","-2","-2","1","0","0","0","0","1"
"工業電腦","-2","-2","1","0","0","0","0","1"
"矽晶圓","-2","-2","1","0","0","0","0","1"
