"sector","average","total","count","續漲停","強續漲","弱續漲","開高走低","直接跌"
"面板光電","2","2","1","1","0","0","0","0"
"連接器","2","2","1","1","0","0","0","0"
"塑化化工","1.5","3","2","1","1","0","0","0"
"消費內需","1","2","2","1","0","1","0","0"
"營建資產","0.667","2","3","1","1","0","1","0"
"出版文創","0","0","1","0","0","1","0","0"
"半導體設備","0","0","1","0","0","1","0","0"
"光學鏡頭","0","0","2","1","0","0","0","1"
"被動元件","-0.4","-2","5","2","0","0","0","3"
"電子通路","-0.5","-1","2","0","0","1","1","0"
"AI伺服器","-1","-1","1","0","0","0","1","0"
"IC設計","-1","-3","3","0","1","0","0","2"
"PCB","-1","-5","5","0","0","2","1","2"
"木業建材","-1","-1","1","0","0","0","1","0"
"生技醫療","-1","-1","1","0","0","0","1","0"
"板卡","-1","-1","1","0","0","0","1","0"
"封測","-1","-1","1","0","0","0","1","0"
"特用化學","-1","-1","1","0","0","0","1","0"
"電力設備","-1","-1","1","0","0","0","1","0"
"電子支付","-1","-1","1","0","0","0","1","0"
"網通","-1","-1","1","0","0","0","1","0"
"玻璃陶瓷","-2","-2","1","0","0","0","0","1"
"軟體","-2","-2","1","0","0","0","0","1"
"晶圓代工","-2","-2","1","0","0","0","0","1"
